Fiber ID,Column Number,Row Number,X location in mm,Y location in mm,Radial distance in mm from center,X location in arcsec,Y location in arcsec,Non-telecentricity in arcmin,Non-telecentricity in degree,Radial distance in arcsec from center,Group
141,-13,2,-2.405,0.641,2.488920449,-10.63321808,2.833426765,13.94,0.2323333333,11.00425527,2
142,-11,2,-2.035,0.641,2.13352408,-8.99733838,2.833426765,11.95,0.1991666667,9.43294255,2
143,-9,2,-1.665,0.641,1.784075391,-7.361458674,2.833426765,9.99,0.1665,7.887926283,3
144,-7,2,-1.295,0.641,1.44489619,-5.725578969,2.833426765,8.09,0.1348333333,6.388314469,3
145,-5,2,-0.925,0.641,1.125311068,-4.089699263,2.833426765,6.3,0.105,4.975333888,4
146,-3,2,-0.555,0.641,0.8477765036,-2.453819558,2.833426765,4.75,0.07916666667,3.748271289,4
147,-1,2,-0.185,0.641,0.667026986,-0.8179398527,2.833426765,3.74,0.06233333333,2.949124079,4
148,1,2,0.185,0.641,0.667026986,0.8179398527,2.833426765,3.74,0.06233333333,2.949124079,5
149,3,2,0.555,0.641,0.8477765036,2.453819558,2.833426765,4.75,0.07916666667,3.748271289,5
150,5,2,0.925,0.641,1.125311068,4.089699263,2.833426765,6.3,0.105,4.975333888,5
151,7,2,1.295,0.641,1.44489619,5.725578969,2.833426765,8.09,0.1348333333,6.388314469,6
152,9,2,1.665,0.641,1.784075391,7.361458674,2.833426765,9.99,0.1665,7.887926283,6
153,11,2,2.035,0.641,2.13352408,8.99733838,2.833426765,11.95,0.1991666667,9.43294255,7
154,13,2,2.405,0.641,2.488920449,10.63321808,2.833426765,13.94,0.2323333333,11.00425527,7
155,15,2,2.775,0.641,2.848038799,12.26909779,2.833426765,15.95,0.2658333333,12.59202398,8
156,17,2,3.145,0.641,3.209630041,13.9049775,2.833426765,17.97,0.2995,14.19072607,8
157,16,3,2.96,0.961,3.112181711,13.08703764,4.250140147,17.43,0.2905,13.75987811,8
158,14,3,2.59,0.961,2.762639137,11.45115794,4.250140147,15.47,0.2578333333,12.21444675,8
159,12,3,2.22,0.961,2.419188914,9.815278232,4.250140147,13.55,0.2258333333,10.69595148,7
160,10,3,1.85,0.961,2.084844119,8.179398527,4.250140147,11.68,0.1946666667,9.217714008,7
161,8,3,1.48,0.961,1.764787523,6.543518821,4.250140147,9.88,0.1646666667,7.802648899,6
162,6,3,1.11,0.961,1.468391978,4.907639116,4.250140147,8.22,0.137,6.492196313,6
163,4,3,0.74,0.961,1.213126127,3.271759411,4.250140147,6.79,0.1131666667,5.363590301,5
164,2,3,0.37,0.961,1.030036407,1.635879705,4.250140147,5.77,0.09616666667,4.554096363,5
165,0,3,0,0.961,0.9612881982,0,4.250140147,5.38,0.08966666667,4.250140147,4
166,-2,3,-0.37,0.961,1.030036407,-1.635879705,4.250140147,5.77,0.09616666667,4.554096363,4
167,-4,3,-0.74,0.961,1.213126127,-3.271759411,4.250140147,6.79,0.1131666667,5.363590301,4
168,-6,3,-1.11,0.961,1.468391978,-4.907639116,4.250140147,8.22,0.137,6.492196313,3
169,-8,3,-1.48,0.961,1.764787523,-6.543518821,4.250140147,9.88,0.1646666667,7.802648899,3
170,-10,3,-1.85,0.961,2.084844119,-8.179398527,4.250140147,11.68,0.1946666667,9.217714008,2
171,-12,3,-2.22,0.961,2.419188914,-9.815278232,4.250140147,13.55,0.2258333333,10.69595148,2
172,-14,3,-2.59,0.961,2.762639137,-11.45115794,4.250140147,15.47,0.2578333333,12.21444675,1
173,-16,3,-2.96,0.961,3.112181711,-13.08703764,4.250140147,17.43,0.2905,13.75987811,1
174,-15,4,-2.775,1.282,3.056701654,-12.26909779,5.66685353,17.12,0.2853333333,13.51458433,1
175,-13,4,-2.405,1.282,2.725220175,-10.63321808,5.66685353,15.26,0.2543333333,12.04900642,1
176,-11,4,-2.035,1.282,2.405,-8.99733838,5.66685353,13.47,0.2245,10.63321808,2
177,-9,4,-1.665,1.282,2.101196088,-7.361458674,5.66685353,11.77,0.1961666667,9.290010912,2
178,-7,4,-1.295,1.282,1.822038693,-5.725578969,5.66685353,10.2,0.17,8.055773299,3
179,-5,4,-0.925,1.282,1.580640693,-4.089699263,5.66685353,8.85,0.1475,6.988481165,3
180,-3,4,-0.555,1.282,1.396719371,-2.453819558,5.66685353,7.82,0.1303333333,6.175310466,4
181,-1,4,-0.185,1.282,1.295,-0.8179398527,5.66685353,7.25,0.1208333333,5.725578969,4
182,1,4,0.185,1.282,1.295,0.8179398527,5.66685353,7.25,0.1208333333,5.725578969,5
183,3,4,0.555,1.282,1.396719371,2.453819558,5.66685353,7.82,0.1303333333,6.175310466,5
184,5,4,0.925,1.282,1.580640693,4.089699263,5.66685353,8.85,0.1475,6.988481165,6
185,7,4,1.295,1.282,1.822038693,5.725578969,5.66685353,10.2,0.17,8.055773299,6
186,9,4,1.665,1.282,2.101196088,7.361458674,5.66685353,11.77,0.1961666667,9.290010912,7
187,11,4,2.035,1.282,2.405,8.99733838,5.66685353,13.47,0.2245,10.63321808,7
188,13,4,2.405,1.282,2.725220175,10.63321808,5.66685353,15.26,0.2543333333,12.04900642,8
